v_(m/s),Class 1,Class 2,Class 3
0,0,0,0
1,0,0,0
2,0,0,0.000100823527400737
3,0,0.00519145001875856,0.0217951945140018
4,0.0205587336371668,0.0329854938814103,0.0644841832911272
5,0.0610680719489093,0.0836853227066032,0.138862930407465
6,0.110504033467018,0.160086638264118,0.243260660021758
7,0.18151406232781,0.267405424281224,0.383151247552656
8,0.276632108598437,0.398420582609523,0.542832292851956
9,0.385671445569653,0.540829362654346,0.685367765751135
10,0.503971325658265,0.669699930808943,0.79106826068234
11,0.618132650025829,0.770548174261365,0.857450888881775
12,0.713436658167402,0.839101566727201,0.898853267668149
13,0.788672757045583,0.882466601779625,0.921008905240289
14,0.842298667888611,0.909490279564142,0.929028440616148
15,0.880285706070619,0.924602109541952,0.915924235010803
16,0.902561192170033,0.936033210853583,0.878885375408423
17,0.916605216069772,0.936224417210332,0.814507381393441
18,0.91457959979748,0.930081232639405,0.728603341852139
19,0.895614327542559,0.909834014140315,0.630206029565823
20,0.860273726626757,0.872951179135768,0.531545191356992
21,0.811776859504129,0.820548401016331,0.439935128686034
22,0.749005312868946,0.754883600795012,0.357827428870588
23,0.678191772576798,0.67964706176788,0.287916316971562
24,0.600814639905547,0.601426603699327,0.228924417346231
25,0.522022414491879,0.52252402163514,0.18236602029895
26,0.448933901918974,0.449519621504572,0.144473219421101
27,0.381177264294144,0.381446617459462,0.115989477072956
28,0.322904368358911,0.321712115921168,0.0917767291009367
29,0.271266690198271,0.267958272901604,0.0734666305935382
30,0.225033167394925,0.224769640618413,0.0600621846111303
31,0.187944131340355,0.186635298743105,0.0479980002196692
32,0.157214140919113,0.155313384301435,0.0399088938231378
33,0.130363721710928,0.12972836602216,0.0330958101743593
34,0.108321361004822,0.107579665472438,0.028701577144186
35,0.0898465171192433,0.0898465171192433,0.0249712231146289
